Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,2016-02-04,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019.0
Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,2017-03-04,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4019.0
Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,2016-06-04,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4019.0
Abbotsford,16 Maugie St,4,h,870000.0,SN,Nelson,2016-08-06,2.5,3067.0,3.0,2.0,2.0,400.0,220.0,2006.0,Yarra City Council,-37.7965,144.9965,Northern Metropolitan,4019.0
Abbotsford,121/56 Nicholson St,2,u,870000.0,PI,Biggin,2016-11-07,2.5,3067.0,2.0,2.0,1.0,4292.0,82.0,2009.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0
Abbotsford,17 Raphael St,4,h,870000.0,W,Biggin,2016-11-07,2.5,3067.0,6.0,2.0,0.0,230.0,147.0,1860.0,Yarra City Council,-37.8066,144.9936,Northern Metropolitan,4019.0
Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,2016-10-08,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra City Council,-37.806,144.9954,Northern Metropolitan,4019.0
Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,2016-10-08,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra City Council,-37.801,144.9989,Northern Metropolitan,4019.0
Abbotsford,2 Rich St,2,h,870000.0,SP,Biggin,2016-12-10,2.5,3067.0,2.0,1.0,1.0,176.0,80.0,1925.0,Yarra City Council,-37.7998,144.9972,Northern Metropolitan,4019.0
Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,2016-11-12,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra City Council,-37.8085,144.9964,Northern Metropolitan,4019.0
Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,2016-11-12,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0
Abbotsford,16 William St,2,h,1310000.0,S,Jellis,2016-10-15,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra City Council,-37.809,144.9976,Northern Metropolitan,4019.0
Abbotsford,16/11 Nicholson St,3,u,870000.0,PI,Philip,2016-04-16,2.5,3067.0,3.0,2.0,2.0,0.0,129.0,2010.0,Yarra City Council,-37.8093,144.9959,Northern Metropolitan,4019.0
Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,2016-07-16,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra City Council,-37.8056,144.993,Northern Metropolitan,4019.0
Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,2016-07-16,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,4019.0
Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,2016-09-17,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019.0
Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,2017-03-18,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,4019.0
Abbotsford,1/1 Mayfield St,3,h,870000.0,SP,Nelson,2017-03-18,2.5,3067.0,3.0,2.0,1.0,119.0,167.0,2005.0,Yarra City Council,-37.8082,144.9999,Northern Metropolitan,4019.0
Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,2016-06-18,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra City Council,-37.8015,144.9972,Northern Metropolitan,4019.0
